26/Mar/2020:09:45:24 +0000 ::ffff:180.106.101.148 GET /otsmobile/app/mgs/mgw.htm?operationType=com.cars.otsmobile.queryLeftTicket&requestData=%5B%7B%22train_date%22%3A%2220200331%22%2C%22purpose_codes%22%3A%2200%22%2C%22from_station%22%3A%22SHH%22%2C%22to_station%22%3A%22CNW%22%2C%22station_train_code%22%3A%22%22%2C%22start_time_begin%22%3A%220000%22%2C%22start_time_end%22%3A%222400%22%2C%22train_headers%22%3A%22QB%23%22%2C%22train_flag%22%3A%22%22%2C%22seat_type%22%3A%220%22%2C%22seatBack_Type%22%3A%22%22%2C%22ticket_num%22%3A%22%22%2C%22dfpStr%22%3A%22%22%2C%22baseDTO%22%3A%7B%22check_code%22%3A%22491040afb1cdda47a2158f8689de93ee%22%2C%22device_no%22%3A%22460062344310576%7C860878030813347%7C4XgMSmKgpt%22%2C%22mobile_no%22%3A%22%22%2C%22os_type%22%3A%22a%22%2C%22time_str%22%3A%2220200326174524%22%2C%22user_name%22%3A%22%22%2C%22version_no%22%3A%224.3.11%22%7D%7D%5D&ts=1585215924032&sign= 404 {}
26/Mar/2020:09:46:07 +0000 ::ffff:105.186.232.211 GET / 200 {}
26/Mar/2020:09:51:19 +0000 ::ffff:193.57.40.38 GET /solr/admin/info/system?wt=json 404 {}
26/Mar/2020:10:04:02 +0000 ::ffff:173.243.72.19 GET / 200 {}
26/Mar/2020:10:14:55 +0000 ::ffff:78.96.36.96 GET / 200 {}
26/Mar/2020:10:26:57 +0000 ::ffff:193.57.40.38 GET /index.php?s=/Index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP 404 {}
26/Mar/2020:10:34:07 +0000 ::ffff:138.94.84.180 GET / 200 {}
26/Mar/2020:10:34:19 +0000 ::ffff:192.168.0.1 GET / 304 {}
26/Mar/2020:10:34:37 +0000 ::ffff:71.114.67.62 GET / 200 {}
26/Mar/2020:10:34:38 +0000 ::ffff:71.114.67.62 GET /favicon.ico 200 {}
26/Mar/2020:10:37:59 +0000 ::ffff:78.107.190.22 GET / 200 {}
26/Mar/2020:10:37:59 +0000 ::ffff:78.107.190.22 GET / 200 {}
26/Mar/2020:10:37:59 +0000 ::ffff:78.107.190.22 GET http://www.msftncsi.com/ncsi.txt 404 {}
26/Mar/2020:10:38:00 +0000 ::ffff:78.107.190.22 GET /HNAP1/ 404 {}
26/Mar/2020:10:38:02 +0000 ::ffff:78.107.190.22 GET /HNAP1/ 404 {}
26/Mar/2020:10:41:16 +0000 ::ffff:192.168.0.1 GET / 304 {}
26/Mar/2020:10:47:57 +0000 ::ffff:192.168.0.2 GET / 200 {}
26/Mar/2020:10:47:57 +0000 ::ffff:192.168.0.2 GET / 200 {}
26/Mar/2020:10:48:00 +0000 ::ffff:192.168.0.2 GET /HNAP1/ 404 {}
26/Mar/2020:10:50:54 +0000 ::ffff:193.57.40.38 POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php 404 {"<?":"md5(\"phpunit\")?>"}
26/Mar/2020:11:05:44 +0000 ::ffff:181.48.71.186 GET / 200 {}
26/Mar/2020:11:06:56 +0000 ::ffff:193.57.40.38 GET /?XDEBUG_SESSION_START=phpstorm 200 {}
26/Mar/2020:11:23:41 +0000 ::ffff:162.243.129.124 GET / 200 {}
26/Mar/2020:11:30:38 +0000 ::ffff:34.91.47.148 OPTIONS / 200 {}
26/Mar/2020:12:10:41 +0000 ::ffff:82.52.228.129 GET / 200 {}
26/Mar/2020:12:15:03 +0000 ::ffff:1.34.12.150 GET / 200 {}
26/Mar/2020:13:06:24 +0000 ::ffff:162.243.133.160 GET / 200 {}
26/Mar/2020:13:12:17 +0000 ::ffff:193.57.40.38 GET /?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php> 200 {}
26/Mar/2020:14:02:39 +0000 ::ffff:192.168.0.1 GET / 304 {}
26/Mar/2020:14:02:46 +0000 ::ffff:192.168.0.1 GET /?XDEBUG_SESSION_START=phpstorm 200 {}
26/Mar/2020:14:02:49 +0000 ::ffff:192.168.0.1 GET /?XDEBUG_SESSION_START=phpstorm 304 {}
26/Mar/2020:14:02:49 +0000 ::ffff:192.168.0.1 GET /favicon.ico 200 {}
26/Mar/2020:14:07:48 +0000 ::ffff:192.168.0.1 POST /api/login 302 {"username":"eric","password":"1234"}
26/Mar/2020:14:07:48 +0000 ::ffff:192.168.0.1 GET /notes 304 {}
26/Mar/2020:14:07:52 +0000 ::ffff:192.168.0.1 GET /api/create/hello 302 {}
26/Mar/2020:14:07:52 +0000 ::ffff:192.168.0.1 GET /notes 200 {}
26/Mar/2020:14:08:01 +0000 ::ffff:192.168.0.1 GET /notes/hello 200 {}
